#WARNING:  Flow-histogram is invalid for n.failures>0 (i.e., this output) in the current version of INRFlow
#Histograms for ./dragonfly-cir_p2_a3_h2_quick-valiant-local_sequential_fr0.00_seed42.2025.10.27.23.02_hist.dat.
#hi,pi,fi are indices for h, p and f, respectively. *n is normalized so that the bars add up to 1.
#h: Server hop length histogram (server hop path length, number of occurrences)
#p: Path length histogram (path length, number of occurrences)
#f: Flows histogram (number of flows, number of uni-directional links with this many flows)
       hi         h     nh        pi         p     np        fi         f     nf
        0        13 0.02600         0        13 0.02600         5         3 0.01786 
        1       487 0.97400         2        10 0.02000         6         1 0.00595 
      nan       nan     nan         3        71 0.14200         7         4 0.02381 
      nan       nan     nan         4        71 0.14200         8        12 0.07143 
      nan       nan     nan         5       152 0.30400         9        11 0.06548 
      nan       nan     nan         6       183 0.36600        10        13 0.07738 
      nan       nan     nan       nan       nan     nan        11        13 0.07738 
      nan       nan     nan       nan       nan     nan        12        13 0.07738 
      nan       nan     nan       nan       nan     nan        13        13 0.07738 
      nan       nan     nan       nan       nan     nan        14        10 0.05952 
      nan       nan     nan       nan       nan     nan        15        11 0.06548 
      nan       nan     nan       nan       nan     nan        16        15 0.08929 
      nan       nan     nan       nan       nan     nan        17        10 0.05952 
      nan       nan     nan       nan       nan     nan        18         6 0.03571 
      nan       nan     nan       nan       nan     nan        19         7 0.04167 
      nan       nan     nan       nan       nan     nan        20         5 0.02976 
      nan       nan     nan       nan       nan     nan        21         7 0.04167 
      nan       nan     nan       nan       nan     nan        22         4 0.02381 
      nan       nan     nan       nan       nan     nan        23         4 0.02381 
      nan       nan     nan       nan       nan     nan        24         2 0.01190 
      nan       nan     nan       nan       nan     nan        25         2 0.01190 
      nan       nan     nan       nan       nan     nan        26         2 0.01190 
